ID,Flower_id,Ring,Observer,Recorder,Day,Comments
PC0210,102,,Sean,Agnese,53,DOUBLE 10 RING CHANGE ' WITH A 2
PC0259,27,,Sean,Agnese,53,"PREDATED, REMOVED"
PB0345,13,4,Agnese,Fer,51,REMOVED RING
PB0459,26,NA,Fer,Fer,47,"DYING, Removed"
PB0738,22,63,Fer,Fer,47,undernear ring on side shoot
PB0738,53,63,Fer,Fer,47,undernear ring on side shoot
PC0070,74,45,Sean,Fer,48,undernear ring on side shoot
PB0458,60,29,Sean,Fer,48,undernear ring on side shoot
PB0458,28,29,Sean,Fer,49,undernear ring on side shoot
PB0132,26,21,Sean,Fer,49,undernear ring on side shoot
PC0210,10,NA,Fer,Fer,47,
PC0199,8,NA,Fer,Fer,47,
PC0246,72,10,Fer,Fer,47,
PC0292,37,NA,Fer,Fer,47,
PC0239,91,NA,Fer,Fer,47,
PC0016,8,8,Fer,Fer,47,
PB0768,57,NA,Fer,Fer,47,
PB0768,56,NA,Fer,Fer,47,
PB0768,6,100,Fer,Fer,47,
PB1834,8,73,Sean,Fer,48,"DEATH PLANT, COW EATEN"
PC0199,23,NA,Fer,Fer,47,
PB0337,12,81,Fer,Fer,47,
PC0314,8,43,Agnese,Fer,51,
PB0337,46,NA,Fer,Fer,47,
PC0250,61,9,Fer,Fer,47,
PB2880,8,,Sean,Agnese,53,
PC0250,74,5,Fer,Fer,47,
PB0484,76,NA,Fer,Fer,47,
PB0484,66,78,Fer,Fer,47,
PB0484,42,NA,Fer,Fer,47,
PB4713,35,NA,Fer,Fer,47,
PB4713,12,NA,Fer,Fer,47,
PB4713,4,NA,Fer,Fer,47,
PB0761,18,NA,Fer,Fer,47,
PC0211,18,NA,Fer,Fer,47,
PC0244,46,NA,Fer,Fer,47,
PB0761,77,82,Fer,Fer,47,
PB0761,96,NA,Fer,Fer,47,
PB0392,18,26,Sean,Agnese,53,
PB0498,67,NA,Fer,Fer,47,
PB0498,70,NA,Fer,Fer,47,
PB0498,90,NA,Fer,Fer,47,
PB0498,92,NA,Fer,Fer,47,
PC0236,59,NA,Fer,Fer,47,
PC0236,20,NA,Fer,Fer,47,
PC0156,28,NA,Fer,Fer,47,
PC0214,19,68,Fer,Fer,47,
PC0214,62,NA,Fer,Fer,47,
PC0203,11,NA,Fer,Fer,47,
PC0211,2,35,Fer,Fer,47,
PC0211,33,NA,Fer,Fer,47,
PB0484,28,,Sean,Agnese,53,Removed flower
PC0224,91,83,Fer,Fer,47,
PB0349,46,50,Fer,Fer,47,
PB2880,71,NA,Fer,Fer,47,
PB2880,67,NA,Fer,Fer,47,
PB2880,39,NA,Fer,Fer,47,
PB0391,5,54,Fer,Fer,47,
PB0391,23,54,Fer,Fer,47,
PA0998,27,37,Fer,Fer,47,
PC0156,25,NA,Fer,Fer,47,
PC0156,96,NA,Fer,Fer,47,
PB0337,38,NA,Fer,Fer,47,
PB0016,21,93,Fer,Fer,47,
PA2495,3,NA,Fer,Fer,47,
PA2495,10,68,Fer,Fer,47,EATEN
PB0174,11,NA,Fer,Fer,47,
PC0035,15,NA,Fer,Fer,47,
PC0035,75,26,Fer,Fer,47,
PC0046,4,87,Fer,Fer,47,
PB0200,36,NA,Fer,Fer,47,
PC0231,38,18,Fer,Fer,47,
PC0224,38,NA,Fer,Fer,47,
PA0341,71,NA,Fer,Fer,47,
PA0341,16,NA,Fer,Fer,47,
PB0279,96,NA,Fer,Fer,47,
PB0279,91,NA,Fer,Fer,47,
PC0143,38,86,Sean,Agnese,53,
PC2460,59,NA,Fer,Fer,47,REMOVED Flower
PB0432,43,NA,Fer,Fer,47,
PB0432,94,NA,Fer,Fer,47,
PB0432,99,NA,Fer,Fer,47,
PB0441,100,38,Fer,Fer,47,
PC2503,48,NA,Sean,Fer,48,
PB0435,16,NA,Fer,Fer,47,
PB4298,32,NA,Fer,Fer,47,
PB4298,73,NA,Fer,Fer,47,
PC0042,48,,Sean,Agnese,53,
PB0445,72,63,Fer,Fer,47,
PB0445,70,63,Fer,Fer,47,
PC0257,63,53,Fer,Fer,47,
PC0257,11,31,Fer,Fer,47,REMOVED RING
PC0229,19,3,Fer,Fer,47,
PC0229,57,3,Fer,Fer,47,
PB0408,2,NA,Fer,Fer,47,
PB0408,40,NA,Fer,Fer,47,
PC0259,66,NA,Fer,Fer,47,
PC0259,6,37,Fer,Fer,47,
PC0259,79,NA,Fer,Fer,47,
PB0392,70,NA,Fer,Fer,47,BROKEN BRANCH
PB0738,62,60,Fer,Fer,47,
PB0451,9,NA,Fer,Fer,47,
PB0451,77,NA,Fer,Fer,47,
PB0451,14,NA,Fer,Fer,47,
PB0737,55,89,Fer,Fer,47,
PC0113,45,NA,Fer,Fer,47,
PC0117,49,6,Fer,Fer,47,
PC0118,1,NA,Fer,Fer,47,
PC1913,69,NA,Sean,Fer,48,
PB0349,97,50,Sean,Fer,48,
PB0349,95,50,Sean,Fer,48,
PC0178,12,75,Sean,Fer,48,
PC0200,54,NA,Sean,Fer,48,
PC0152,52,100,Sean,Fer,48,
PB0351,4,26,Sean,Fer,48,
PB0498,58,,Sean,Agnese,53,
PA0998,17,28,Sean,Fer,48,
PB2595,41,NA,Sean,Fer,48,
PB2595,13,NA,Sean,Fer,48,
PC0120,44,NA,Sean,Fer,48,
PC0052,92,76,Sean,Fer,48,
PC0210,68,NA,Fer,Fer,47,
PC0075,34,96,Sean,Fer,48,"EATEN, REMOVED"
PC0033,37,47,Sean,Fer,48,
PC0025,50,58,Sean,Fer,48,
PC0271,7,NA,Sean,Fer,48,
PC0271,65,NA,Sean,Fer,48,
PC2517,24,NA,Sean,Fer,48,
PB0526,76,46,Sean,Fer,48,"EATEN BY COW, REMOVED"
PB0526,36,46,Sean,Fer,48,"EATEN BY COW, REMOVED"
PA1851,68,30,Agnese,Fer,51,
PB1834,61,73,Sean,Fer,48,"DEATH PLANT, COW EATEN"
PB0311,42,NA,Sean,Fer,49,
PB0311,10,73,Sean,Fer,49,
PC0230,48,NA,Sean,Fer,47,check
PC0244,94,NA,Sean,Fer,49,
PB0193,68,,Sean,Agnese,53,
PB3886,92,11,Sean,Fer,49,
