ID,Green,Open/Closed/Fallen,Age(1-4),Damage(0-3),Counted,Day,Comments
PB0337,1,C,,,,54,
PB0337,1,C,,,,55,
PB0337,1,O,1,0,Y,56,
PB0337,1,O,1,0,Y,57,
PB0337,1,F,,,,58,
PB0337,1,F,,,,59,
PB0337,1,F,,,,60,
PB0337,1,F,,,,61,
PB0337,1,FR,,,,62,
PB0337,1,FR,,,,63,
PB1821,1,C,,,,52,
PB1821,1,O,1,0,Y,53,
PB1821,1,O,1,0,Y,54,
PB1821,1,O,1,0,Y,55,
PB1821,1,O,2,0,Y,56,
PB1821,1,O,4,0,N,57,
PB1821,1,O,4,0,N,58,
PB1821,1,O,4,0,N,59,
PB1821,1,O,4,0,N,60,
PB1821,1,O,4,0,N,61,
PB1821,1,O,4,0,N,62,
PB1821,1,O,4,0,N,63,
PC0118,1,O,1,1,Y,48,
PC0118,1,O,1,2,Y,50,ROBBED BEE
PC0118,1,O,2,2,Y,51,
PC0118,1,O,2,2,Y,52,
PC0118,1,O,3,0,N,53,
PC0118,1,O,4,0,N,54,
PC0118,1,O,4,0,N,55,
PC0118,1,O,4,0,N,56,
PC0118,1,O,4,0,N,57,
PC0118,1,O,4,0,N,58,
PC0118,1,O,4,0,N,59,
PC0118,1,O,4,0,N,60,
PC0118,1,O,4,0,N,61,
PC0118,1,O,4,0,N,62,
PC0118,1,O,4,0,N,63,
PB0408,2,C,NA,0,N,48,
PB0408,2,O,1,0,Y,49,
PB0408,2,O,1,0,Y,50,
PB0408,2,F,NA,NA,NA,51,
PB0408,2,F,,,,52,
PB0408,2,F,,,,53,
PB0408,2,F,,,,54,
PB0408,2,F,,,,55,
PB0408,2,F,,,,56,
PB0408,2,F,,,,57,
PB0408,2,F,,,,58,
PB0408,2,F,,,,59,
PB0408,2,F,,,,60,
PB0408,2,F,,,,61,
PB0408,2,F,,,,62,
PB0408,2,F,,,,63,
PC0003,2,O,1,0,Y,54,
PC0003,2,O,2,0,Y,55,
