ID,Ring,Open/Closed/Fallen/Fruit,Age(1-4),Damage(0-3),Counted,Comments
PC1906,74,F,,,,
PC1906,77,F,,,,
PC1906,24,F,,,,
PC0210,68,FR,,,,
PC0210,10,F,,,,
PC0210,10B,F,,,,
PC0246,72,F,,,,
PC0292,37,F,,,,
PC0239,91,FR,,,,
PC0242,81,F,,,,
PB0768,57,FR,,,,
PB0768,6,FR,,,,
PB0768,56,FR,,,,
PB0311,81,F,,,,
PB0311,13,O,4,0,N,
PB0311,10,O,4,0,N,
PB0311,42,FR,,,,
PC0199,8,F,,,,
PC0199,23,FR,,,,
PB0337,12,FR,,,,
PB0337,46,F,,,,
PB0337,38,F,,,,
PB0337,56,F,,,,
PB0337,1,F,,,,
PC0250,61,F,,,,
PC0250,89,F,,,,
PC0250,74,F,,,,
PB0484,76,F,,,,
PB0484,66,FR,,,,
PB0484,70,F,,,,
PB0484,42,FR,,,,
PB0484,28,F,,,,
PB0484,87,F,,,,
PB4713,4,FR,,,,
PB4713,96,F,,,,
PB4713,12,FR,,,,
PB4713,35,FR,,,,
PB4713,98,F,,,,
PC0230,98,FR,,,,
PC0230,48,F,,,,
PC0230,85,FR,,,,
PC0244,46,F,,,,
PC0244,94,FR,,,,
PC0244,100,O,,,,
PB0761,77,FR,,,,
PB0761,18,F,,,,
PB0761,96,F,,,,
PB0498,67,FR,,,,
PB0498,70,FR,,,,
PB0498,90,FR,,,,
PB0498,92,F,,,,
PB0498,58,O,1,0,Y,
PB0498,76,F,,,,
PC0236,20,F,,,,
PC0236,59,F,,,,
PC0231,38,FR,,,,
PC0214,62,F,,,,
PC0214,19,FR,,,,
PC0203,81,FR,,,,
PC0203,11,FR,,,,
PC0224,86,FR,,,,
PC0224,38,F,,,,
PC0224,91,F,,,,
PC0211,83,O,4,0,N,
PC0211,18,F,,,,
PC0211,33,F,,,,
PC0211,2,F,,,,
PC1913,69,F,,,,
PB0349,46,F,,,,
PB0349,97,F,,,,
PB0349,95,F,,,,
PB3886,92,FR,,,,
PC0178,12,F,,,,
PC1925,72,O,1,0,Y,
PB0345,73,F,,,,
PC0184,93,F,,,,
PC0190,82,F,,,,
PC0200,54,FR,,,,
PC0152,52,FR,,,,
PB0351,4,FR,,,,
PB0351,83,F,,,,
PB0351,47,FR,,,,
PB0351,100,F,,,,
PB2880,67,FR,,,,
PB2880,39,FR,,,,
PB2880,8,F,,,,
PB2880,71,F,,,,
PB2880,79,F,,,,
PB0391,3,FR,,,,
PB0391,5,F,,,,
PB0391,23,F,,,,
PB0385,13,F,,,,EATEN
PB0381,84,F,,,,
PB0381,44,F,,,,
PC0140,50,F,,,,
PC0140,55,F,,,,
PA0998,27,F,,,,
PA0998,11,FR,,,,
PA0998,17,FR,,,,
PC0156,25,F,,,,
PC0156,92,F,,,,
PC0156,69,F,,,,
PC0156,28,F,,,,
PC0156,96,FR,,,,
PB2595,41,FR,,,,
PB2595,13,FR,,,,
PB2595,66,O,4,0,N,
PA2417,84,F,,,,
PA2417,60,F,,,,
PC2523,22,F,,,,
PC2523,76,F,,,,
PC0845,23,F,,,,
PC0841,53,F,,,,
PC0841,42,F,,,,
PC2505,54,F,,,,
PC2505,17,FR,,,,
PC2505,32,F,,,,
PC2505,63,F,,,,
PC0294,57,F,,,,
PC0294,21,O,2,0,Y,
PB0016,21,F,,,,
PB0022,29,F,,,,
PB0022,44,FR,,,,
PC0143,89,O,4,0,N,
PC0143,38,F,,,,
PB4296,39,F,,,,
PB4296,20,O,4,0,N,
PC0120,44,FR,,,,
PC0118,1,O,4,0,N,
PC0117,49,FR,,,,
PC0113,45,F,,,,
PC0110,60,F,,,,
PC0104,51,F,,,,
PC1922,4,F,,,,
PC2511,77,FR,,,,
PC0080,45,F,,,,
PC0080,83,F,,,,
PC0080,78,F,,,,
PC1923,99,F,,,,
PB0136,91,F,,,,
PB3356,61,F,,,,
PB3356,11,F,,,,
PA1851,68,F,,,,
PC2504,10,F,,,,
PC2504,94,F,,,,
PC2504,12,F,,,,
PC0061,73,O,4,0,N,
PC0061,33,F,,,,
PB0132,64,FR,,,,
PB0132,59,F,,,,
PB0132,49,F,,,,
PB0132,26,F,,,,
